Date,NASDQUE,DJIA
2012-07-18,4476.950195,12908.7002
2012-07-19,4488.419922,12943.36035
2012-07-20,4615,12822.57031
2012-07-23,4526.060059,12721.45996
2012-07-24,4685.919922,12617.32031
2012-07-25,4637.990234,12676.04981
2012-07-26,4643.629883,12887.92969
2012-07-27,4689.430176,13075.66016
2012-07-30,4835.759766,13073.00977
2012-07-31,4891.430176,13008.67969
2012-08-01,4903.089844,12976.12988
2012-08-02,5007.410156,12878.87988
2012-08-03,5065.850098,13096.16992
2012-08-06,5107.939941,13117.50977
2012-08-07,5040.990234,13168.59961
2012-08-08,5048.490234,13175.63965
2012-08-09,5045.930176,13165.19043
2012-08-10,5001.109863,13207.9502
2012-08-13,4968.919922,13169.42969
2012-08-14,4923.080078,13172.13965
2012-08-15,5002.549805,13164.78027
2012-08-16,5071.129883,13250.11035
2012-08-17,4995.359863,13275.2002
2012-08-20,4952.22998,13271.63965
2012-08-21,4933.470215,13203.58008
2012-08-22,5045.169922,13172.75977
2012-08-23,5022.870117,13057.45996
2012-08-24,5098.240234,13157.96973
2012-08-27,5101.810059,13124.66992
2012-08-28,5142.27002,13102.99023
2012-08-29,5037.529785,13107.48047
2012-08-30,5123.220215,13000.70996
2012-08-31,5156.310059,13090.83984
2012-09-04,5108.669922,13035.94043
2012-09-05,5127.52002,13047.48047
2012-09-06,5116.140137,13292
2012-09-07,5102.810059,13306.63965
2012-09-10,5102.47998,13254.29004
2012-09-11,5104.919922,13323.36035
2012-09-12,5073.640137,13333.34961
2012-09-13,5075.200195,13539.86035
2012-09-14,4986.02002,13593.37012
2012-09-17,4984.620117,13553.09961
2012-09-18,4927.879883,13564.63965
2012-09-19,5005.080078,13577.95996
2012-09-20,5067.02002,13596.92969
2012-09-21,5083.240234,13579.46973
2012-09-24,5095.299805,13558.91992
2012-09-25,5147.120117,13457.54981
2012-09-26,5127.740234,13413.50977
2012-09-27,5142.47998,13485.96973
2012-09-28,5145.129883,13437.12988
2012-10-01,5127.149902,13515.11035
2012-10-02,5053.75,13482.36035
2012-10-03,5074.27002,13494.61035
2012-10-04,5095.689941,13575.36035
2012-10-05,5030.149902,13610.15039
2012-10-08,5034.700195,13583.65039
2012-10-09,5031.859863,13473.53027
2012-10-10,4920.049805,13344.96973
2012-10-11,4840.120117,13326.38965
2012-10-12,4880.970215,13328.84961
2012-10-15,4905.470215,13424.23047
2012-10-16,4886.689941,13551.78027
2012-10-17,4870.100098,13557
2012-10-18,4782.850098,13548.94043
2012-10-19,4796.609863,13343.50977
2012-10-22,4838.640137,13345.88965
2012-10-23,4830.470215,13102.53027
2012-10-24,4810.790039,13077.33984
